Type,Radius,Track
0,3732.076051,6.56168
0,3384.815131,6.56168
0,2943.676718,6.56168
0,2649.584444,6.56168
0,2558.559982,6.56168
0,3177.573035,6.56168
0,3219.41555,6.56168
0,3457.65979,6.56168
0,3889.888914,6.56168
0,4322.118038,6.56168
0,4754.347161,6.56168
0,3973.869597,6.56168
0,3438.805655,6.56168
0,3198.908544,6.56168
0,3073.409303,6.56168
0,3323.277207,6.56168
0,4725.096788,6.56168
0,4836.854123,6.56168
0,34851.17265,6.56168
0,34597.70217,6.56168
0,34229.83382,6.56168
0,33486.59832,6.56168
0,31625.08915,6.56168
0,31162.58808,6.56168
0,1488.859738,6.56168
0,1484.685936,6.56168
0,1411.264287,6.56168
0,1389.353758,6.56168
0,1282.097189,6.56168
0,1108.818727,6.56168
0,387.6323017,6.56168
0,264.2984812,6.56168
0,213.2513176,6.56168
0,106.5156197,6.56168
0,49.44827777,6.56168
0,43.50044033,6.56168
0,41.48844064,6.56168
0,40.31865534,6.56168
0,36.40219791,6.56168
0,37.62539951,6.56168
0,42.28166248,6.56168
0,47.73172455,6.56168
0,54.6119136,6.56168
0,71.39767363,6.56168
0,105.6988087,6.56168
0,118.6246877,6.56168
0,158.9879633,6.56168
0,366.7729154,6.56168
0,571.8680147,6.56168
0,627.183061,6.56168
0,765.0906703,6.56168
0,825.0998054,6.56168
0,1179.365059,6.56168
0,1121.206254,6.56168
0,977.4459776,6.56168
0,973.099828,6.56168
0,868.3536026,6.56168
0,888.9569832,6.56168
0,674.538847,6.56168
0,2114.353386,6.56168
0,2530.236537,6.56168
0,2814.940361,6.56168
0,2840.160818,6.56168
0,3179.76001,6.56168
0,3195.25494,6.56168
0,2558.506477,6.56168
0,2292.987967,6.56168
0,7050.096954,6.56168
0,7725.473231,6.56168
0,8034.439126,6.56168
0,8080.570952,6.56168
0,7206.559465,6.56168
0,7733.865578,6.56168
0,3369.72352,6.56168
0,2904.301561,6.56168
0,11953.65473,6.56168
0,12039.18987,6.56168
0,12065.87574,6.56168
0,11375.63452,6.56168
0,10685.3933,6.56168
0,10415.36639,6.56168
0,655.557891,6.56168
0,358.400366,6.56168
0,271.8073354,6.56168
0,241.1915786,6.56168
0,209.2834313,6.56168
0,198.0984641,6.56168
0,183.8514345,6.56168
0,170.4151895,6.56168
0,170.6398313,6.56168
0,166.1931836,6.56168
0,164.1385075,6.56168
0,166.4663704,6.56168
0,180.4106191,6.56168
0,220.4426685,6.56168
0,263.7983365,6.56168
0,903.6095929,6.56168
0,1542.321268,6.56168
0,1695.098349,6.56168
0,1876.06226,6.56168
0,1880.009972,6.56168
0,1892.085475,6.56168
0,1310.311799,6.56168
0,728.5381229,6.56168
0,629.8749839,6.56168
0,504.4373611,6.56168
0,579.6706965,6.56168
0,640.1907111,6.56168
0,694.4014634,6.56168
0,797.5503918,6.56168
0,1067.839665,6.56168
0,1175.36532,6.56168
0,1072.516845,6.56168
0,953.8512787,6.56168
0,842.8633739,6.56168
0,711.6324158,6.56168
0,413.2611123,6.56168
0,237.7800348,6.56168
0,207.738417,6.56168
0,190.3059029,6.56168
0,169.8462247,6.56168
0,121.4944712,6.56168
0,73.66430881,6.56168
0,57.63187891,6.56168
0,55.04202572,6.56168
0,54.69351507,6.56168
0,54.21470838,6.56168
0,52.93285429,6.56168
0,49.52038986,6.56168
0,43.30412737,6.56168
0,37.80635932,6.56168
0,33.03778744,6.56168
0,30.60305692,6.56168
0,28.10387981,6.56168
0,27.9907706,6.56168
0,29.58323228,6.56168
0,31.7116631,6.56168
0,115.2030009,6.56168
0,321.5634481,6.56168
0,330.2819068,6.56168
0,335.15494,6.56168
0,340.0403983,6.56168
0,343.1151815,6.56168
0,266.8580067,6.56168
0,66.66186816,6.56168
0,72.43120362,6.56168
0,82.57500068,6.56168
0,84.90650703,6.56168
0,102.5789964,6.56168
0,118.4579859,6.56168
0,180.8731697,6.56168
0,188.2434423,6.56168
0,183.9998468,6.56168
0,192.4981272,6.56168
0,176.1579884,6.56168
0,156.4745362,6.56168
0,89.68344333,6.56168
0,68.67184108,6.56168
0,57.60461742,6.56168
0,40.55130934,6.56168
0,35.15059641,6.56168
0,34.08838904,6.56168
0,34.01934413,6.56168
0,46.10681212,6.56168
0,65.46543053,6.56168
0,80.8346047,6.56168
0,89.99865117,6.56168
0,91.3462482,6.56168
0,93.56394214,6.56168
0,87.72967251,6.56168
0,85.93233868,6.56168
0,298.5771322,6.56168
0,409.1879075,6.56168
0,437.2776045,6.56168
0,449.0751309,6.56168
0,456.5469627,6.56168
0,451.8360227,6.56168
0,253.1249237,6.56168
0,147.2112754,6.56168
0,130.6399628,6.56168
0,129.5940816,6.56168
0,124.8052693,6.56168
0,121.2545475,6.56168
0,99.01980638,6.56168
0,91.56656115,6.56168
0,84.11331593,6.56168
0,74.5160161,6.56168
0,69.18433809,6.56168
0,65.44778048,6.56168
0,63.78922976,6.56168
0,63.78678252,6.56168
0,64.23922298,6.56168
0,65.68373694,6.56168
0,70.80459662,6.56168
0,71.06462006,6.56168
0,72.52360115,6.56168
0,73.3230229,6.56168
0,74.47356267,6.56168
0,78.11903404,6.56168
0,82.39900758,6.56168
0,94.81394738,6.56168
0,106.4347098,6.56168
0,115.2876225,6.56168
0,127.4190391,6.56168
0,138.2075051,6.56168
0,145.3899596,6.56168
0,147.7031636,6.56168
0,165.8162783,6.56168
0,185.7006985,6.56168
0,185.0992894,6.56168
0,187.88549,6.56168
0,205.1564994,6.56168
0,222.4275088,6.56168
0,265.6254509,6.56168
0,302.6531372,6.56168
0,650.0665725,6.56168
0,994.0923979,6.56168
0,1109.197126,6.56168
0,1146.460386,6.56168
0,1186.377275,6.56168
0,1344.753602,6.56168
0,1154.304852,6.56168
0,859.3248487,6.56168
0,778.781134,6.56168
0,801.9765455,6.56168
0,954.9040633,6.56168
0,995.5423993,6.56168
0,964.9322367,6.56168
0,1178.533563,6.56168
0,1403.491843,6.56168
0,1437.057522,6.56168
0,1391.438139,6.56168
0,1323.009065,6.56168
