,Radius (ft),Length (ft)
0,57.30253806,13.12336
0,46.90024339,13.12336
0,45.54114708,13.12336
0,48.21374442,13.12336
0,57.81731571,13.12336
0,75.02703884,13.12336
0,115.4670557,13.12336
0,79.50923849,13.12336
0,62.93928087,13.12336
0,61.10212492,13.12336
0,62.84952085,13.12336
0,63.88573567,13.12336
0,67.07068449,13.12336
0,130.9781715,13.12336
0,112.7301752,13.12336
0,84.89316087,13.12336
0,53.70752105,13.12336
0,47.83307161,13.12336
0,43.75240739,13.12336
0,63.59448285,13.12336
0,207.4818887,13.12336
0,68.46207642,13.12336
0,31.23836199,13.12336
0,31.65978578,13.12336
0,39.75699407,13.12336
0,121.3369711,13.12336
0,196.5954441,13.12336
0,102.7507229,13.12336
0,166.3633112,13.12336
0,210.404456,13.12336
0,158.6619899,13.12336
0,158.0733444,13.12336
0,608.5006125,13.12336
0,752.9464302,13.12336
0,916.8436147,13.12336
0,2602.388181,13.12336
0,3820.088372,13.12336
0,55458.7252,13.12336
0,711.5222448,13.12336
0,992.0246614,13.12336
0,307.4656297,13.12336
0,280.6091444,13.12336
0,285.305782,13.12336
0,288.4552648,13.12336
0,438.6622739,13.12336
0,787.25092,13.12336
0,1335.732884,13.12336
0,708.8974034,13.12336
0,270.4585221,13.12336
0,159.9768335,13.12336
0,117.5495841,13.12336
0,79.16620532,13.12336
0,80.35632993,13.12336
0,79.11246383,13.12336
0,65.82942817,13.12336
0,64.36709617,13.12336
0,344.2731097,13.12336
0,2488.220618,13.12336
0,301.7567397,13.12336
0,102.4724964,13.12336
0,51.625915,13.12336
0,51.19462037,13.12336
0,47.69083693,13.12336
0,55.72831212,13.12336
0,62.65931739,13.12336
0,73.07614823,13.12336
0,1971.840804,13.12336
0,79.89287622,13.12336
0,57.37008678,13.12336
0,58.57938338,13.12336
0,56.49100693,13.12336
0,115.2929213,13.12336
0,622.5807081,13.12336
0,43.75072785,13.12336
0,103.3897586,13.12336
0,67.35957342,13.12336
0,45.49538771,13.12336
0,810.0571926,13.12336
0,87.0400544,13.12336
0,62.87380973,13.12336
0,95.13878154,13.12336
0,51.20028465,13.12336
0,53.3234539,13.12336
0,159.6395106,13.12336
0,62.79041872,13.12336
0,82.99875372,13.12336
0,992.3004133,13.12336
0,79.75191086,13.12336
0,64.03752337,13.12336
0,161.6426913,13.12336
0,144.7659645,13.12336
0,154.5261363,13.12336
0,438.4948387,13.12336
0,419.2662334,13.12336
0,462.3386136,13.12336
0,579.784785,13.12336
0,851.6655101,13.12336
0,772.9918288,13.12336
0,2540.695998,13.12336
0,860.8929868,13.12336
0,1106.414182,13.12336
0,2596.802649,13.12336
0,468.8163278,13.12336
0,415.4778155,13.12336
0,93.36151231,13.12336
0,82.63246445,13.12336
0,92.62148356,13.12336
0,110.1264413,13.12336
0,191.8220756,13.12336
0,311.1059708,13.12336
0,26.38525051,13.12336
0,25.67087848,13.12336
0,28.75018187,13.12336
0,110.0628786,13.12336
0,70.58470873,13.12336
0,47.11346813,13.12336
0,73.98989454,13.12336
0,67.5599061,13.12336
0,77.14416492,13.12336
0,469.7408328,13.12336
0,1225.181174,13.12336
0,477.2458041,13.12336
0,131.3693092,13.12336
0,36.01013435,13.12336
0,37.52758544,13.12336
0,28.8670772,13.12336
0,27.95469302,13.12336
0,194.6937552,13.12336
0,204.5737935,13.12336
0,488.519189,13.12336
0,37.95317338,13.12336
0,26.86721383,13.12336
0,29.87793445,13.12336
0,47.23374076,13.12336
0,354.697695,13.12336
0,134.3422179,13.12336
0,47.27802802,13.12336
0,41.17781433,13.12336
0,54.23620123,13.12336
0,134.7851602,13.12336
0,110.1356387,13.12336
0,125.3097765,13.12336
0,119.2198698,13.12336
0,183.576486,13.12336
0,169.3789922,13.12336
0,130.1614861,13.12336
0,103.0928512,13.12336
0,103.4065441,13.12336
0,312.873579,13.12336
0,1000.878724,13.12336
0,342.0473308,13.12336
0,45.58846006,13.12336
0,47.05499043,13.12336
0,268.5313064,13.12336
0,102.8652678,13.12336
0,612.1975777,13.12336
0,66.58399238,13.12336
0,32.1783454,13.12336
0,31.77038959,13.12336
0,40.93025613,13.12336
0,60.75079383,13.12336
0,116.7808289,13.12336
0,31.74031274,13.12336
0,32.2338192,13.12336
0,45.76615363,13.12336
0,82.21611741,13.12336
0,240.3580737,13.12336
0,65.64140017,13.12336
0,52.83314828,13.12336
0,59.47482049,13.12336
0,88.5122771,13.12336
0,194.1678495,13.12336
0,116.1146439,13.12336
0,79.36926126,13.12336
0,75.35437877,13.12336
0,82.56349574,13.12336
0,79.06842521,13.12336
0,527.7956715,13.12336
0,116.1593908,13.12336
0,109.7194272,13.12336
0,169.6910151,13.12336
0,382.2846249,13.12336
0,3658.164415,13.12336
0,5608.3267,13.12336
0,1731.044811,13.12336
0,1441.681602,13.12336
0,4.77E+18,13.12336
0,894.4440103,13.12336
0,904.623762,13.12336
0,1017.289258,13.12336
0,1539.255874,13.12336
0,3444.821408,13.12336
0,4374.411727,13.12336
0,1090.87788,13.12336
0,1008.950926,13.12336
0,953.3614385,13.12336
0,1570.235242,13.12336
0,687.5418983,13.12336
0,155.6836339,13.12336
0,123.7948094,13.12336
0,76.28203672,13.12336
0,42.18617508,13.12336
0,37.10400807,13.12336
0,64.23355592,13.12336
0,49.8505066,13.12336
0,36.56183133,13.12336
0,44.6484522,13.12336
0,54.65870366,13.12336
0,37.42094986,13.12336
0,39.77595105,13.12336
0,64.08758148,13.12336
0,181.8706032,13.12336
0,52.85339457,13.12336
0,48.17103788,13.12336
0,58.78145993,13.12336
0,80.63776864,13.12336
0,523.4912635,13.12336
0,167.6756801,13.12336
0,155.0132113,13.12336
0,241.2563595,13.12336
0,306.6478313,13.12336
0,566.502239,13.12336
0,87.32695355,13.12336
0,81.04169784,13.12336
0,51.85507549,13.12336
0,38.29364939,13.12336
0,83.55460188,13.12336
0,45.18965997,13.12336
0,399.6970398,13.12336
0,105.1649433,13.12336
0,86.05649001,13.12336
0,147.6265709,13.12336
0,51.26640606,13.12336
0,45.66403328,13.12336
0,45.88334981,13.12336
0,173.3245395,13.12336
0,26.07223076,13.12336
0,23.67014776,13.12336
0,32.09619617,13.12336
0,65.29071653,13.12336
0,139.0101528,13.12336
0,32.75780416,13.12336
0,28.62225275,13.12336
0,28.38708106,13.12336
0,35.67762152,13.12336
0,30.19085264,13.12336
0,26.86828181,13.12336
0,32.63910206,13.12336
0,58.58824738,13.12336
0,27.16101204,13.12336
0,21.08402618,13.12336
0,26.24936717,13.12336
0,51.51853338,13.12336
